"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"0500000US18035","Delaware County, Indiana","46720","1458","11.3","2.2","6.6","1.6","14.9","2.4","10.7","1.9","13.8","2.5","19.3","2.9","10.6","2.2","9.2","1.9","1.1","0.7","2.6","1.3","41041","3086","56602","5024","41.2","(X)","(X)","(X)","(X)","(X)","26626","1618","6.7","2.7","4.7","2.2","8.9","2.8","8.4","2.2","13.5","2.8","23.8","3.9","14.4","3.1","13.4","3.2","1.9","1.3","4.3","2.1","56569","3865","70966","6674","(X)","(X)","43.1","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","70411","6046","N","N","(X)","(X)","(X)","(X)","(X)","(X)","20094","1755","19.4","4.4","9.4","2.9","21.7","4.6","13.8","3.0","14.0","4.2","13.0","3.9","5.6","2.9","2.7","1.7","0.0","0.8","0.4","0.4","24768","3002","36378","6891","(X)","(X)","(X)","(X)","38.0","(X)"
"0500000US18039","Elkhart County, Indiana","72487","1467","5.5","1.5","5.2","1.6","9.5","1.9","9.0","2.0","16.3","2.5","22.9","2.9","15.9","2.2","10.3","1.9","2.7","0.9","2.6","0.9","54216","3235","65321","4034","29.6","(X)","(X)","(X)","(X)","(X)","50774","2299","3.2","1.4","3.3","1.7","5.8","2.2","8.0","2.5","13.8","2.6","26.5","3.6","19.2","2.5","13.4","2.5","3.6","1.3","3.2","1.2","65003","2583","75524","5080","(X)","(X)","29.3","(X)","(X)","(X)","38199","2185","1.6","1.0","0.9","0.7","2.9","1.5","5.9","2.1","12.2","2.7","28.9","4.1","23.0","3.2","15.9","3.0","4.5","1.6","4.1","1.6","72387","3544","N","N","(X)","(X)","(X)","(X)","(X)","(X)","21713","2137","12.1","3.6","9.9","3.3","19.2","4.6","15.6","4.0","23.5","5.1","11.9","3.8","4.3","2.1","2.1","1.4","0.2","0.3","1.3","1.0","29710","3497","36549","3109","(X)","(X)","(X)","(X)","26.3","(X)"
"0500000US18043","Floyd County, Indiana","29199","967","5.0","1.8","5.7","2.3","9.8","2.4","10.9","3.2","13.2","2.5","20.1","2.8","11.0","2.2","12.1","2.3","7.5","1.7","4.7","1.4","58586","3807","80423","6957","30.7","(X)","(X)","(X)","(X)","(X)","18642","1227","2.4","1.4","1.3","1.3","6.3","2.8","8.6","3.1","11.6","3.2","21.7","4.0","14.1","3.1","17.0","3.5","10.4","2.5","6.7","1.9","72474","5083","99852","9235","(X)","(X)","28.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","86485","10739","N","N","(X)","(X)","(X)","(X)","(X)","(X)","10557","1201","9.7","3.9","14.4","6.1","17.0","5.3","18.0","7.0","14.3","4.4","15.0","4.9","5.6","2.4","2.8","1.8","2.4","1.7","0.8","1.0","31313","2943","43584","7623","(X)","(X)","(X)","(X)","33.0","(X)"
"0500000US18053","Grant County, Indiana","26528","1025","9.2","2.5","5.2","2.1","17.1","3.3","15.5","2.8","14.2","3.7","19.4","4.0","10.4","2.6","6.4","1.8","1.6","0.9","1.1","0.8","37117","4061","49367","3434","44.7","(X)","(X)","(X)","(X)","(X)","16927","1475","5.1","2.9","1.7","1.1","15.1","4.0","14.9","4.1","16.0","4.1","20.2","4.6","13.9","3.9","9.1","2.8","2.4","1.5","1.7","1.2","46111","5362","58657","4444","(X)","(X)","44.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","55057","7554","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9601","1299","19.8","5.9","11.2","5.3","19.9","5.6","17.6","4.4","11.6","4.6","15.3","6.5","3.7","2.1","0.7","1.2","0.1","0.2","0.0","1.6","24509","5319","29871","3210","(X)","(X)","(X)","(X)","42.4","(X)"
"0500000US18057","Hamilton County, Indiana","118521","1707","2.4","0.9","1.8","0.7","5.5","1.2","5.4","1.2","10.2","1.5","15.9","2.0","14.8","1.8","19.5","1.7","12.4","1.8","12.1","1.7","89823","4238","116274","6521","24.8","(X)","(X)","(X)","(X)","(X)","84582","2554","1.4","1.1","0.6","0.5","3.4","1.2","3.7","1.2","7.8","1.9","14.4","2.3","14.9","1.9","22.1","2.3","16.0","2.4","15.7","2.2","104798","4796","135710","8980","(X)","(X)","23.5","(X)","(X)","(X)","69091","2997","0.2","0.2","0.4","0.3","0.9","0.6","2.2","1.0","5.3","1.7","12.2","2.1","15.4","2.1","25.8","2.7","18.7","2.8","18.9","2.6","119491","5056","N","N","(X)","(X)","(X)","(X)","(X)","(X)","33939","2632","5.1","2.3","4.5","2.2","11.1","2.9","10.0","3.3","18.4","4.5","19.1","3.5","13.1","3.7","12.4","3.6","3.9","1.9","2.4","1.2","50659","3854","65553","5260","(X)","(X)","(X)","(X)","27.0","(X)"
"0500000US18059","Hancock County, Indiana","27968","810","2.9","1.7","3.4","2.0","9.4","3.0","7.4","3.0","16.2","4.3","17.1","3.6","13.2","3.2","18.3","3.6","6.7","2.4","5.5","2.5","67799","7663","81328","6273","26.5","(X)","(X)","(X)","(X)","(X)","20284","1201","3.3","2.0","3.8","2.9","5.4","3.0","6.2","3.3","11.1","5.0","19.1","4.8","14.5","3.7","20.5","4.7","9.2","3.7","7.0","3.4","76788","11914","91494","9166","(X)","(X)","29.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","88564","10941","N","N","(X)","(X)","(X)","(X)","(X)","(X)","7684","1135","3.2","2.8","6.1","3.9","19.5","7.5","14.4","7.8","22.2","6.7","14.1","7.1","10.3","7.2","9.4","5.3","0.2","0.3","0.6","1.0","37229","5982","48618","6542","(X)","(X)","(X)","(X)","19.2","(X)"
"0500000US18063","Hendricks County, Indiana","58677","1238","3.7","2.2","1.3","0.6","5.6","2.1","8.4","2.3","11.7","2.6","16.6","2.5","18.7","3.5","21.4","3.5","7.6","1.9","4.9","1.4","78307","5014","88073","3894","34.7","(X)","(X)","(X)","(X)","(X)","40884","2380","0.9","0.7","0.5","0.5","2.1","1.3","3.8","1.6","10.9","3.0","16.8","3.2","21.4","4.3","27.5","4.1","9.6","2.5","6.4","2.1","88866","5103","102196","5025","(X)","(X)","30.2","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","100503","6631","N","N","(X)","(X)","(X)","(X)","(X)","(X)","17793","2071","11.3","6.5","2.8","1.5","13.2","6.3","20.1","6.6","16.1","5.3","18.5","5.5","6.6","2.9","7.4","4.6","2.5","1.7","1.6","1.5","37278","6765","51686","6374","(X)","(X)","(X)","(X)","41.8","(X)"
"0500000US18067","Howard County, Indiana","34195","1167","7.4","2.1","6.8","2.1","11.5","2.7","14.3","2.8","12.6","2.6","17.1","3.2","12.2","2.3","11.8","2.7","2.6","1.6","3.7","1.5","45702","5865","62995","4426","39.6","(X)","(X)","(X)","(X)","(X)","22232","1437","5.2","2.4","4.6","2.2","7.9","3.1","11.8","3.6","10.5","3.1","19.0","3.9","15.5","3.1","16.3","4.0","4.3","2.5","4.6","2.2","61385","6069","75884","6472","(X)","(X)","39.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","79026","5273","N","N","(X)","(X)","(X)","(X)","(X)","(X)","11963","1384","13.4","4.6","12.3","4.6","17.8","5.4","17.4","4.5","17.0","5.4","13.2","5.1","3.9","2.2","3.5","2.5","0.0","1.3","1.4","1.5","27964","3599","36923","5015","(X)","(X)","(X)","(X)","38.5","(X)"
"0500000US18081","Johnson County, Indiana","54542","1630","2.5","1.3","2.5","1.4","8.9","2.0","8.9","2.2","13.2","2.6","20.8","3.0","16.3","3.0","16.4","2.7","5.9","1.7","4.7","1.3","65991","5709","86468","7265","35.8","(X)","(X)","(X)","(X)","(X)","39238","2211","1.2","0.7","1.4","1.3","3.4","1.6","6.9","2.4","10.1","2.7","21.8","3.2","20.9","3.8","20.2","3.3","7.9","2.3","6.2","1.9","80784","4769","101207","9075","(X)","(X)","35.1","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","87618","3984","N","N","(X)","(X)","(X)","(X)","(X)","(X)","15304","1853","6.5","4.2","6.4","4.2","23.0","5.8","14.6","5.1","20.3","6.2","18.7","6.3","4.7","3.1","4.8","3.2","0.2","0.4","0.8","1.0","34349","5593","45413","9618","(X)","(X)","(X)","(X)","35.1","(X)"
"0500000US18085","Kosciusko County, Indiana","30494","1012","3.3","1.9","1.9","1.0","14.7","3.0","11.1","3.0","14.6","2.6","23.7","3.9","11.8","2.6","13.5","2.5","2.2","0.9","3.2","1.2","53963","5089","69224","6105","29.4","(X)","(X)","(X)","(X)","(X)","21701","1394","1.6","1.3","2.2","1.2","10.6","3.4","8.3","3.2","15.0","3.3","23.9","4.2","14.1","3.3","17.2","3.3","2.7","1.1","4.5","1.7","62527","3818","80189","8773","(X)","(X)","28.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","71509","8321","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8793","1031","8.8","5.7","3.2","2.6","29.4","7.7","16.1","5.5","15.2","5.3","19.5","6.0","6.1","3.0","1.7","2.1","0.0","1.7","0.0","1.7","31407","4430","36106","3711","(X)","(X)","(X)","(X)","31.4","(X)"
"0500000US18089","Lake County, Indiana","185575","2341","8.7","1.1","4.8","0.7","9.9","1.0","9.0","1.0","14.2","1.3","19.3","1.3","13.4","1.4","13.2","1.3","4.5","0.7","3.0","0.6","53681","1814","69932","2835","37.0","(X)","(X)","(X)","(X)","(X)","122418","3662","6.3","1.1","3.1","0.7","5.5","1.0","8.1","1.5","13.3","1.6","20.6","1.7","15.9","1.6","17.2","1.8","6.1","1.0","4.0","0.8","65636","2287","81631","3697","(X)","(X)","38.4","(X)","(X)","(X)","83712","3852","1.4","0.5","1.2","0.6","2.9","0.9","5.9","1.5","11.4","1.9","20.7","2.1","20.8","2.0","22.3","2.4","7.6","1.4","5.8","1.1","81022","3273","98614","5337","(X)","(X)","(X)","(X)","(X)","(X)","63157","3467","15.0","2.2","9.0","1.6","18.5","2.3","11.4","1.8","14.7","2.4","16.3","2.2","8.3","2.1","4.8","1.5","1.3","0.8","0.7","0.5","30657","1907","44607","4042","(X)","(X)","(X)","(X)","33.0","(X)"
"0500000US18091","LaPorte County, Indiana","42074","1553","6.1","1.9","4.7","1.5","11.6","2.4","9.1","1.9","15.7","2.6","19.0","2.9","13.7","2.6","14.4","2.4","2.9","0.9","2.9","1.1","53507","4244","67659","3744","37.8","(X)","(X)","(X)","(X)","(X)","27635","1849","5.1","2.4","4.0","2.2","7.6","2.7","5.0","2.0","14.7","2.8","20.3","3.3","19.3","3.6","16.3","3.0","4.1","1.4","3.7","1.6","66243","4641","75775","4241","(X)","(X)","39.0","(X)","(X)","(X)","19158","1499","2.5","2.0","0.9","0.9","2.9","1.6","2.3","1.1","13.5","3.1","24.4","4.5","22.0","4.4","20.7","4.1","5.7","2.0","5.1","2.2","78941","6577","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14439","1576","9.0","3.3","8.5","2.9","22.0","5.5","16.3","4.2","16.5","5.0","14.6","4.9","4.2","2.5","7.0","2.7","0.5","0.5","1.4","0.8","30736","3474","47356","6863","(X)","(X)","(X)","(X)","35.1","(X)"
"0500000US18095","Madison County, Indiana","50964","1484","6.5","1.8","6.9","1.9","14.4","2.4","11.3","2.0","13.9","2.2","19.8","2.6","11.7","2.1","10.9","2.1","3.0","1.0","1.6","0.7","45495","3748","59751","3939","40.9","(X)","(X)","(X)","(X)","(X)","34186","1846","5.1","1.7","4.3","1.7","11.8","2.9","8.1","2.3","14.3","2.5","20.8","3.2","15.3","2.9","14.1","2.7","3.9","1.3","2.3","1.0","57878","6157","70101","5520","(X)","(X)","41.6","(X)","(X)","(X)","22984","1538","1.1","0.8","1.2","1.0","7.2","2.0","6.9","2.4","13.3","3.2","23.1","3.6","18.9","3.8","19.2","3.7","5.8","2.0","3.3","1.5","72029","4503","85787","7323","(X)","(X)","(X)","(X)","(X)","(X)","16778","1638","13.3","4.7","13.5","3.8","20.5","4.0","16.7","4.1","14.8","3.8","14.0","3.3","3.3","2.1","2.9","2.3","0.5","0.5","0.3","0.5","26957","3679","34184","3779","(X)","(X)","(X)","(X)","37.2","(X)"
"0500000US18097","Marion County, Indiana","368349","3531","9.5","0.9","5.4","0.6","11.9","0.9","11.8","0.8","15.7","0.8","17.6","1.0","10.8","0.7","10.1","0.8","3.7","0.4","3.5","0.4","44874","1483","65479","2389","34.5","(X)","(X)","(X)","(X)","(X)","203179","5647","5.7","1.0","3.5","0.6","8.8","1.1","10.5","1.2","15.3","1.2","18.5","1.4","13.4","1.0","13.6","1.2","5.6","0.8","5.2","0.7","57089","2179","78403","2877","(X)","(X)","35.8","(X)","(X)","(X)","130984","5509","2.7","0.8","1.4","0.5","5.3","1.0","7.4","1.1","13.2","1.3","20.0","1.7","16.6","1.4","18.9","1.6","7.7","1.1","6.9","0.8","75054","2412","95198","3530","(X)","(X)","(X)","(X)","(X)","(X)","165170","5290","15.0","1.8","7.9","0.9","15.9","1.5","14.1","1.7","16.8","1.6","15.4","1.5","7.2","1.0","5.2","0.8","1.1","0.4","1.3","0.5","31925","1193","47552","4308","(X)","(X)","(X)","(X)","31.8","(X)"
"0500000US18105","Monroe County, Indiana","54513","1571","11.5","2.1","6.4","1.9","11.6","2.3","9.9","1.8","15.5","2.6","16.6","2.4","10.1","2.0","10.3","1.7","3.3","1.3","4.9","1.4","43582","2884","66101","4681","28.8","(X)","(X)","(X)","(X)","(X)","26582","1530","4.7","2.4","1.5","1.4","7.4","2.8","8.2","2.6","10.1","3.1","21.3","3.8","16.0","3.4","15.1","3.1","5.9","2.6","9.8","2.9","69419","6123","94806","9068","(X)","(X)","28.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","85503","5837","N","N","(X)","(X)","(X)","(X)","(X)","(X)","27931","1887","19.1","3.9","11.1","3.4","16.0","4.1","12.5","3.2","19.8","4.7","11.5","3.0","4.7","1.9","4.4","1.8","0.6","0.7","0.3","0.4","27832","3484","36986","4927","(X)","(X)","(X)","(X)","28.1","(X)"
"0500000US18109","Morgan County, Indiana","25881","941","3.3","1.4","2.2","1.0","8.4","2.7","10.8","3.2","14.9","4.0","24.2","4.0","11.9","3.0","16.3","3.9","4.6","1.9","3.3","2.2","60530","4002","72662","5488","37.9","(X)","(X)","(X)","(X)","(X)","18680","1538","1.2","0.9","2.4","1.8","5.8","2.6","9.2","3.2","13.9","4.5","24.2","4.8","14.1","3.5","18.8","4.5","5.8","2.6","4.6","3.1","69206","4517","81479","7333","(X)","(X)","39.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","77514","8591","N","N","(X)","(X)","(X)","(X)","(X)","(X)","7201","1232","10.4","5.2","4.4","2.2","17.3","6.6","16.9","8.0","16.2","7.1","19.0","7.2","9.7","5.4","4.6","3.6","1.5","1.8","0.0","2.1","35479","4919","44649","6031","(X)","(X)","(X)","(X)","30.8","(X)"
"0500000US18127","Porter County, Indiana","62986","1607","5.2","1.4","3.7","1.1","6.7","1.4","8.0","1.9","13.0","2.0","19.3","2.5","14.9","2.4","19.5","2.2","4.7","1.3","5.1","1.3","66196","3903","82284","3758","27.7","(X)","(X)","(X)","(X)","(X)","44021","2016","2.0","0.9","1.8","1.2","4.4","1.6","5.7","1.9","11.4","2.5","20.3","2.9","17.9","3.4","23.6","2.8","5.8","1.6","7.0","1.8","82464","4966","96495","4888","(X)","(X)","28.6","(X)","(X)","(X)","33396","2118","1.2","0.8","0.8","0.6","1.9","1.0","4.2","1.8","8.4","2.5","19.5","3.1","18.7","3.7","29.2","3.7","7.4","2.1","8.7","2.2","94404","4107","N","N","(X)","(X)","(X)","(X)","(X)","(X)","18965","1644","13.3","3.6","8.3","3.0","12.5","3.3","13.3","4.0","18.0","4.0","17.3","4.2","9.5","3.8","5.2","2.4","2.0","1.4","0.6","0.7","36364","2967","45747","4017","(X)","(X)","(X)","(X)","22.9","(X)"
"0500000US18141","St. Joseph County, Indiana","97071","2206","8.9","1.2","6.0","1.2","11.4","1.4","10.8","1.7","14.0","1.6","18.9","1.9","12.4","1.6","11.1","1.3","2.8","0.8","3.7","0.7","48358","2877","64649","2618","37.9","(X)","(X)","(X)","(X)","(X)","60971","2282","4.2","1.1","3.0","1.0","7.2","1.6","9.0","1.8","14.5","2.2","21.3","2.7","15.8","2.3","15.6","2.1","4.2","1.2","5.2","1.2","61748","3732","79370","4119","(X)","(X)","38.4","(X)","(X)","(X)","45666","2129","1.7","0.8","1.2","0.6","4.5","1.5","6.8","1.9","13.5","2.3","21.6","3.0","19.3","2.7","19.5","2.6","5.4","1.6","6.6","1.6","76344","6246","92209","5225","(X)","(X)","(X)","(X)","(X)","(X)","36100","2492","16.8","2.7","11.6","2.9","20.2","3.0","13.3","2.9","13.9","2.8","13.7","2.5","6.1","1.7","2.9","1.5","0.3","0.3","1.2","0.6","25719","1988","37910","3918","(X)","(X)","(X)","(X)","36.3","(X)"
"0500000US18157","Tippecanoe County, Indiana","68405","1780","9.8","2.1","4.1","1.4","10.9","2.0","9.4","1.9","13.4","2.4","20.2","3.1","12.0","2.5","11.9","1.9","4.6","1.4","3.8","1.0","51361","1568","69541","4146","28.3","(X)","(X)","(X)","(X)","(X)","40194","1913","3.5","2.1","3.1","1.8","6.5","2.2","7.0","2.4","13.7","3.1","21.5","4.1","14.0","3.1","17.8","3.1","7.1","2.3","5.9","1.7","67529","5333","88264","7251","(X)","(X)","25.7","(X)","(X)","(X)","30196","1800","0.7","1.1","1.1","1.4","3.9","1.6","5.1","1.8","10.3","2.9","22.4","4.9","17.1","3.9","22.6","3.7","9.3","3.0","7.5","2.1","85179","6274","N","N","(X)","(X)","(X)","(X)","(X)","(X)","28211","2342","19.8","3.7","6.5","2.8","17.7","4.1","12.7","3.2","13.0","3.6","18.1","4.4","7.7","3.6","2.9","1.6","0.6","0.6","0.9","0.9","30067","3842","39829","4379","(X)","(X)","(X)","(X)","30.1","(X)"
"0500000US18163","Vanderburgh County, Indiana","74968","1879","6.7","1.5","6.3","1.3","11.3","1.8","12.4","1.8","16.6","2.6","18.3","2.3","12.8","2.1","10.0","1.6","3.5","1.0","2.1","0.8","46064","3439","63945","4188","27.7","(X)","(X)","(X)","(X)","(X)","44081","2269","4.4","1.3","4.7","1.5","7.7","2.0","9.8","2.2","14.5","3.0","20.3","3.3","15.5","3.1","14.8","2.4","5.5","1.7","2.9","1.2","57214","5798","79463","6629","(X)","(X)","26.5","(X)","(X)","(X)","29784","1912","1.6","0.9","0.9","0.9","5.4","2.1","5.8","2.2","12.7","3.1","21.5","4.0","21.0","3.9","19.8","3.6","7.0","2.2","4.3","1.7","77496","5219","N","N","(X)","(X)","(X)","(X)","(X)","(X)","30887","2058","12.2","3.3","9.4","2.8","17.5","3.1","17.1","3.3","17.9","3.7","14.2","3.4","7.6","2.5","2.9","1.1","0.2","0.2","1.0","0.8","30503","2593","39048","3095","(X)","(X)","(X)","(X)","26.6","(X)"
"0500000US18167","Vigo County, Indiana","40328","1505","6.8","2.0","8.0","2.2","13.6","2.8","12.8","2.3","14.5","2.8","19.5","3.0","10.9","2.1","9.0","2.1","3.6","1.1","1.3","0.8","43910","3578","56349","3246","39.7","(X)","(X)","(X)","(X)","(X)","26116","1700","3.7","1.6","4.6","2.0","10.9","3.3","11.3","2.6","15.3","3.3","21.1","3.8","13.6","2.8","12.8","3.2","5.0","1.5","1.6","1.1","55316","6496","66736","4335","(X)","(X)","39.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","70258","4804","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14212","1465","13.8","4.7","14.2","5.3","22.0","4.8","14.7","4.8","12.8","4.5","14.1","4.3","5.5","3.1","1.7","1.7","0.6","1.0","0.6","1.0","25004","3017","34212","3647","(X)","(X)","(X)","(X)","37.0","(X)"
"0500000US18177","Wayne County, Indiana","26538","1149","6.5","2.5","9.0","2.7","13.0","3.2","10.1","2.4","17.9","3.4","18.5","3.1","10.5","2.4","10.3","2.6","1.7","1.0","2.6","1.2","43401","4479","56553","3721","34.5","(X)","(X)","(X)","(X)","(X)","16785","1255","2.8","1.4","3.1","1.8","8.1","3.2","10.2","2.9","17.5","3.8","23.3","4.5","15.2","3.6","14.0","3.5","2.5","1.5","3.4","1.8","57121","5596","69049","4675","(X)","(X)","33.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","67122","3594","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9753","1150","13.1","5.9","19.6","6.1","22.5","6.6","11.3","4.4","16.1","5.5","9.5","3.8","2.6","1.5","3.6","2.7","0.5","0.8","1.2","2.0","21976","2562","33659","5873","(X)","(X)","(X)","(X)","33.8","(X)"
"0500000US19013","Black Hawk County, Iowa","52479","1390","8.3","1.7","3.7","1.0","11.9","2.1","12.3","2.4","13.3","2.1","19.0","2.6","13.2","1.8","12.1","2.0","2.7","1.0","3.5","1.1","50470","3444","69997","5978","33.6","(X)","(X)","(X)","(X)","(X)","31056","1720","5.8","2.1","1.3","0.8","7.6","2.8","8.1","2.1","11.5","2.3","19.2","3.3","18.7","2.6","17.6","3.1","4.2","1.6","5.8","1.8","69489","4979","90697","9351","(X)","(X)","30.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","79808","4490","N","N","(X)","(X)","(X)","(X)","(X)","(X)","21423","1788","12.5","3.3","8.5","2.5","20.2","3.7","17.2","3.8","15.5","3.6","17.3","3.9","4.6","2.0","3.8","1.9","0.1","0.2","0.3","0.4","30314","2240","37860","2948","(X)","(X)","(X)","(X)","37.2","(X)"
"0500000US19049","Dallas County, Iowa","33180","729","2.8","1.6","1.5","0.7","9.2","2.6","6.1","2.3","11.8","3.1","18.1","3.2","11.6","2.4","21.5","2.8","7.3","2.1","10.0","2.4","75899","8802","103298","8326","31.7","(X)","(X)","(X)","(X)","(X)","21544","1299","1.0","1.1","0.5","0.4","3.7","1.8","4.0","1.8","10.0","4.0","13.1","3.5","13.7","3.4","28.8","4.2","10.9","3.1","14.4","3.4","107538","9470","126359","9676","(X)","(X)","32.6","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","116117","4239","N","N","(X)","(X)","(X)","(X)","(X)","(X)","11636","1192","6.3","4.1","3.4","2.1","19.7","6.9","10.5","4.8","18.8","6.2","27.6","7.0","7.1","2.8","4.7","2.9","0.0","0.9","2.0","1.9","41635","7325","57596","15322","(X)","(X)","(X)","(X)","29.9","(X)"
"0500000US19061","Dubuque County, Iowa","37710","1062","6.4","1.8","3.9","1.4","7.8","1.8","9.3","1.8","13.8","2.4","17.5","2.3","17.1","2.3","16.3","2.3","3.1","1.2","4.7","1.5","60456","4069","82731","8634","35.9","(X)","(X)","(X)","(X)","(X)","25666","1329","3.8","2.0","1.8","1.2","3.1","1.2","6.5","1.6","11.2","2.1","19.8","3.0","21.1","3.1","21.9","3.1","4.6","1.7","6.4","2.1","79158","4065","100892","12545","(X)","(X)","34.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","87988","5626","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12044","1147","12.4","3.8","9.7","3.6","18.6","4.6","15.9","4.0","18.7","5.9","13.4","3.9","8.8","3.0","1.4","1.2","0.0","0.9","1.2","0.9","30450","3467","41264","6070","(X)","(X)","(X)","(X)","39.0","(X)"
"0500000US19103","Johnson County, Iowa","57217","1936","12.2","2.4","5.0","1.6","9.2","2.2","6.7","1.8","10.1","2.3","16.5","2.8","12.6","2.2","15.5","2.4","6.2","1.4","6.0","1.4","58064","3481","76500","3628","29.0","(X)","(X)","(X)","(X)","(X)","32090","1705","4.8","2.1","1.8","1.3","6.5","2.7","3.5","1.6","9.5","2.8","16.6","3.7","14.5","2.8","24.1","3.7","8.9","2.1","9.9","2.4","90357","6257","101733","5847","(X)","(X)","29.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","98458","5589","N","N","(X)","(X)","(X)","(X)","(X)","(X)","25127","2258","21.8","4.9","9.7","3.3","13.7","3.4","10.8","3.1","10.8","3.2","16.2","4.1","9.1","3.9","4.3","2.1","2.5","1.6","1.0","1.0","29731","4205","42791","5028","(X)","(X)","(X)","(X)","26.9","(X)"
